,Course Title,Instructors,tags
159,Molecular Biology: DNA Replication and Repair,"['StephenP.Bell', 'TaniaA.Baker', 'MaryEllenWiltrout', 'NathanielSchafheimer', 'SeraThornton']",scienc technolog engin and mathemat stephenp.bel taniaa.bak maryellenwiltrout nathanielschafheim serathornton mitx
160,Tangible Things,['LaurelUlrich'],human histori design religion and educ laurelulrich harvardx
161,Introduction to Computer Science and Programming Using Python,"['EricGrimson', 'JohnGuttag', 'AnaBell']",comput scienc ericgrimson johnguttag anabel mitx
162,Computation Structures: Digital Circuits,"['ChrisTerman', 'SteveWard', 'SilvinaWachman']",comput scienc christerman steveward silvinawachman mitx
163,Introduction to American Government,['ThomasPatterson'],govern health and social scienc thomaspatterson harvardx
164,Introduction to Solid State Chemistry,['MichaelCima'],scienc technolog engin and mathemat michaelcima mitx
165,Mechanical Behavior of Materials: Linear Elastic Behavior,['LornaJ.Gibson'],scienc technolog engin and mathemat lornaj.gibson mitx
166,"Transforming Business, Society, and Self",['OttoScharmer'],govern health and social scienc ottoscharm mitx
167,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","['AndrewGordon', 'JohnDower', 'ShigeruMiyagawa']",human histori design religion and educ andrewgordon johndow shigerumiyagawa harvardx
168,History of the Book: Making and Meaning in the Medieval Manuscript,"['JeffreyHamburger', 'BillStoneman']",human histori design religion and educ jeffreyhamburg billstoneman harvardx
169,History of the Book: Scrolls in the Age of the Book,['TomKelly'],human histori design religion and educ tomkelli harvardx
170,"History of the Book: Print and Manuscript in Western Europe, Asia and the Middle East (1450-1650)",['AnnBlair'],human histori design religion and educ annblair harvardx
171,History of the Book: The History of the Book in the 17th and 18th Century Europe,['RobertDarnton'],human histori design religion and educ robertdarnton harvardx
172,History of the Book: Book Sleuthing: What 19th-Century Books Can Tell Us About the Rise of the Reading Public,['LeahPrice'],human histori design religion and educ leahpric harvardx
173,"History of the Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive",['DanSmail'],human histori design religion and educ dansmail harvardx
174,"History of the Book: Monasteries, Schools, and Notaries, Part 2: Introduction to the Transitional Gothic Script",['BeverlyKienzle'],human histori design religion and educ beverlykienzl harvardx
175,History of the Book: The Medieval Book of Hours: Art and Devotion in the Later Middle Ages,"['JeffreyHamburger', 'BillStoneman']",human histori design religion and educ jeffreyhamburg billstoneman harvardx
176,History of the Book: Books in the Medieval Liturgy,['TomKelly'],human histori design religion and educ tomkelli harvardx
177,Foundations of Development Policy: Advanced Development Economics,"['AbhijitVinayakBanerjee', 'EstherDuflo', 'BenjaminOlken']",govern health and social scienc abhijitvinayakbanerje estherduflo benjaminolken mitx
178,Atomic and Optical Physics: Resonance,"['WolfgangKetterle', 'DavidE.Pritchard', 'IsaacChuang']",scienc technolog engin and mathemat wolfgangketterl davide.pritchard isaacchuang mitx
179,A Global History of Architecture,['MarkJarzombek'],human histori design religion and educ markjarzombek mitx
180,Introduction to Aerodynamics,['DavidL.Darmofal'],scienc technolog engin and mathemat davidl.darmof mitx
181,Circuits and Electronics: Basic Circuit Analysis,"['AnantAgarwal', 'GeraldSussman', 'PiotrMitros', 'ChrisTerman', 'BonnieLam']",scienc technolog engin and mathemat anantagarw geraldsussman piotrmitro christerman bonnielam mitx
182,"Circuits and Electronics: Amplification, Speed, and Delay","['AnantAgarwal', 'GeraldSussman', 'PiotrMitros', 'ChrisTerman', 'BonnieLam']",scienc technolog engin and mathemat anantagarw geraldsussman piotrmitro christerman bonnielam mitx
183,Circuits and Electronics: Applications,"['AnantAgarwal', 'GeraldSussman', 'PiotrMitros', 'ChrisTerman', 'BonnieLam']",scienc technolog engin and mathemat anantagarw geraldsussman piotrmitro christerman bonnielam mitx
184,Supply Chain Design,"['ChrisCaplice', 'YossiSheffi', 'JamesBlayneyRiceJr.', 'JarrodGoentzel']",govern health and social scienc chriscaplic yossisheffi jamesblayneyricejr. jarrodgoentzel mitx
185,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",['PaulPeterson'],human histori design religion and educ paulpeterson harvardx
186,"Saving Schools: History, Politics, and Policy of U.S. Education – Teacher Policies",['PaulPeterson'],human histori design religion and educ paulpeterson harvardx
187,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",['PaulPeterson'],human histori design religion and educ paulpeterson harvardx
188,"Saving Schools: History, Politics, and Policy of U.S. Education – School Choice",['PaulPeterson'],human histori design religion and educ paulpeterson harvardx
189,Justice,['MichaelSandel'],human histori design religion and educ michaelsandel harvardx
190,Underactuated Robotics,"['RussTedrake', 'RobinDeits', 'TwanKoolen']",scienc technolog engin and mathemat russtedrak robindeit twankoolen mitx
191,Principles of Synthetic Biology,"['AdamArkin', 'RonWeiss']",scienc technolog engin and mathemat adamarkin ronweiss mitx
192,Evaluating Social Programs,"['RachelGlennerster', 'MarcShotland']",govern health and social scienc rachelglennerst marcshotland mitx
193,Super-Earths and Life,['DimitarSasselov'],scienc technolog engin and mathemat dimitarsasselov harvardx
194,"Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids",['LornaJ.Gibson'],scienc technolog engin and mathemat lornaj.gibson mitx
195,Data Analysis for Genomics: Statistics and R,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
196,Atomic and Optical Physics: Atomic structure and atoms in external field,"['WolfgangKetterle', 'DavidE.Pritchard', 'IsaacChuang']",scienc technolog engin and mathemat wolfgangketterl davide.pritchard isaacchuang mitx
197,Introduction to Computational Thinking and Data Science,"['EricGrimson', 'JohnGuttag', 'AnaBell']",comput scienc ericgrimson johnguttag anabel mitx
198,Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
199,The Creation and End of Centralized Empire,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
200,Cosmopolitan Tang: Aristocratic Culture,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
201,Literati China: Examinations and Neo-Confucianism,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
202,From a Global Empire under the Mongols to a Global Economy under the Ming Dynasty,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
203,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"['J.ChristopherLove', 'AnthonyJ.Sinskey', 'Dr.StacyL.Springs', 'Dr.PaulW.Barone', 'BetsySkrip', 'NicholasMozdzierz', 'EricMiller']",govern health and social scienc j.christopherlov anthonyj.sinskey dr.stacyl.spr dr.paulw.baron betsyskrip nicholasmozdzierz ericmil mitx
204,Molecular Biology: Transcription and Transposition,"['StephenP.Bell', 'TaniaA.Baker', 'MaryEllenWiltrout', 'NathanielSchafheimer', 'SeraThornton']",scienc technolog engin and mathemat stephenp.bel taniaa.bak maryellenwiltrout nathanielschafheim serathornton mitx
205,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
206,The Manchus and the Qing Dynasty,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
207,"Invasions, Rebellions and the Fall of Imperial China","['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
208,Creating Modern China: The Birth of a Nation,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
209,China and Communism,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
210,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","['AndrewGordon', 'JohnDower', 'ShigeruMiyagawa']",human histori design religion and educ andrewgordon johndow shigerumiyagawa harvardx
211,Mechanical Behavior of Materials: Time Dependent Behavior and Failure,['LornaJ.Gibson'],scienc technolog engin and mathemat lornaj.gibson mitx
212,Data Analysis for Genomics: Matrix Algebra and Linear Models,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
213,First Nights: Handel’s Messiah and Baroque Oratorio,['TomKelly'],human histori design religion and educ tomkelli harvardx
214,Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field,"['WolfgangKetterle', 'DavidE.Pritchard', 'IsaacChuang']",scienc technolog engin and mathemat wolfgangketterl davide.pritchard isaacchuang mitx
215,Computation Structures: Computer Architecture,"['ChrisTerman', 'SteveWard', 'SilvinaHanonoWachman']",comput scienc christerman steveward silvinahanonowachman mitx
216,Philosophy: Minds and Machines,['AlexByrne'],human histori design religion and educ alexbyrn mitx
217,Calculus: Integration,['DavidJerison'],scienc technolog engin and mathemat davidjerison mitx
218,Lessons from Ebola: Preventing the Next Pandemic,['AshishJha'],govern health and social scienc ashishjha harvardx
219,Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions,"['WolfgangKetterle', 'DavidE.Pritchard', 'IsaacChuang']",scienc technolog engin and mathemat wolfgangketterl davide.pritchard isaacchuang mitx
220,Data Analysis for Genomics: Statistical Inference and Modeling for High-throughput Experiments,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
222,Introduction to Feedback Control Theory,"['JacobWhite', 'JoeSteinmeyer']",scienc technolog engin and mathemat jacobwhit joesteinmey mitx
223,Contracts Law: From Trust to Promise to Contract,['CharlesFried'],govern health and social scienc charlesfri harvardx
224,Advanced Introductory Classical Mechanics,"['DavidE.Pritchard', 'ChrisChudzicki', 'ZhongzhouChen']",scienc technolog engin and mathemat davide.pritchard chrischudzicki zhongzhouchen mitx
225,Introduction to Computer Science and Programming Using Python,"['EricGrimson', 'JohnGuttag', 'AnaBell']",comput scienc ericgrimson johnguttag anabel mitx
226,Data Analysis for Genomics: Introduction to High-Dimensional Data Analysis,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
227,Atomic and Optical Physics: Coherence,"['WolfgangKetterle', 'DavidE.Pritchard', 'IsaacChuang']",scienc technolog engin and mathemat wolfgangketterl davide.pritchard isaacchuang mitx
228,Practical Improvement Science in Health Care: A Roadmap for Getting Results,"['DonGoldmann', 'DaveWilliams', 'DonBerwick']",govern health and social scienc dongoldmann davewilliam donberwick harvardx
229,First Nights: Beethoven's 9th Symphony,['TomKelly'],human histori design religion and educ tomkelli harvardx
230,Readings in Global Health,['DavidHunter'],govern health and social scienc davidhunt harvardx
231,Becoming an Entrepreneur,['LaurieStach'],govern health and social scienc lauriestach mitx
232,"Cellular Solids: Structures, Properties and Engineering Applications",['LornaJ.Gibson'],scienc technolog engin and mathemat lornaj.gibson mitx
233,Design and Development of Educational Technology,"['EricKlopfer', 'ScotOsterweil', 'JudyPerry']",human histori design religion and educ ericklopf scotosterweil judyperri mitx
234,Mobile Application Experiences: From a Domain to an App Idea,"['FrankBentley', 'EdBarrett']",comput scienc frankbentley edbarrett mitx
235,Introduction to Probability: The Science of Uncertainty,"['JohnTsitsiklis', 'PatrickJaillet', 'AliaaAtwi', 'DimitriBertsekas', 'QingHe', 'JimmyLi', 'JagdishRamakrishnan', 'KatieSzeto', 'KuangXu']",scienc technolog engin and mathemat johntsitsikli patrickjaillet aliaaatwi dimitribertseka qingh jimmyli jagdishramakrishnan katieszeto kuangxu mitx
236,Flight Vehicle Aerodynamics,"['MarkDrela', 'AlejandraUranga']",scienc technolog engin and mathemat markdrela alejandrauranga mitx
237,Supply Chain and Logistics Fundamentals,['ChrisCaplice'],govern health and social scienc chriscaplic mitx
238,Data Analysis for Genomics: Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
239,The Einstein Revolution,['PeterGalison'],human histori design religion and educ petergalison harvardx
240,Global Warming Science,"['KerryEmanuel', 'DanCziczo', 'DavidMcGee']",scienc technolog engin and mathemat kerryemanuel dancziczo davidmcge mitx
241,Mastering Quantum Mechanics: Wave Mechanics,"['BartonZwiebach', 'SaifRayyan']",scienc technolog engin and mathemat bartonzwiebach saifrayyan mitx
242,The Challenges of Global Poverty,"['EstherDuflo', 'AbhijitVinayakBanerjee']",govern health and social scienc estherduflo abhijitvinayakbanerje mitx
243,Global Health Case Studies from a Biosocial Perspective,"['ArthurKleinman', 'PaulFarmer', 'SalmaanKeshavjee', 'AnneBecker']",govern health and social scienc arthurkleinman paulfarm salmaankeshavje annebeck harvardx
244,Mobile Application Experiences: Mobile App Design,"['FrankBentley', 'EdBarrett']",comput scienc frankbentley edbarrett mitx
245,"World Religions Through their Scriptures: Religious Literacy, Traditions and Scriptures",['DianeMoore'],human histori design religion and educ dianemoor harvardx
246,Introduction to Computational Thinking and Data Science,"['EricGrimson', 'JohnGuttag', 'AnaBell']",comput scienc ericgrimson johnguttag anabel mitx
247,Data Analysis for Genomics: High-performance Computing for Reproducible Genomics,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
248,Contracts Law: From Trust to Promise to Contract,['CharlesFried'],govern health and social scienc charlesfri harvardx
249,Mastering Quantum Mechanics: Quantum Dynamics,"['BartonZwiebach', 'SaifRayyan']",scienc technolog engin and mathemat bartonzwiebach saifrayyan mitx
250,Mobile Application Experiences: Building Mobile Apps,"['FrankBentley', 'EdBarrett']",comput scienc frankbentley edbarrett mitx
251,Shaping the Future of Work,"['ThomasKochan', 'GokceBasbug', 'MeryamBukari', 'ShahidAzad', 'KanikaAlmadi']",govern health and social scienc thomaskochan gokcebasbug meryambukari shahidazad kanikaalmadi mitx
252,Calculus: Coordinate Systems and Infinite Series,['DavidJerison'],scienc technolog engin and mathemat davidjerison mitx
253,Quantitative Biology Workshop,"['JeffGore', 'PaulBlainey', 'EricS.Lander', 'ErnestFraenkel', 'MaryEllenWiltrout', 'NathanielSchafheimer']",scienc technolog engin and mathemat jeffgor paulblainey erics.land ernestfraenkel maryellenwiltrout nathanielschafheim mitx
254,World Religions Through their Scriptures: Christianity,['KarenKing'],human histori design religion and educ karenk harvardx
255,Poetry in America: Modernism,['ElisaNew'],human histori design religion and educ elisanew harvardx
256,Cellular Solids: Applications in Medicine,['LornaJ.Gibson'],scienc technolog engin and mathemat lornaj.gibson mitx
257,The Analytics Edge,"['DimitrisBertsimas', ""AllisonO'Hair"", 'JohnSilberholz', 'IainDunning', 'AngieKing', 'VeliborMisic', 'NatalyYoussef', 'AlexWeinstein', 'JerryKung']",govern health and social scienc dimitrisbertsima allisono'hair johnsilberholz iaindun angiek velibormis natalyyoussef alexweinstein jerrykung mitx
258,Data Analysis for Genomics: Case Studies in Functional Genomics,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
259,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,['KathrynParkerBoudett'],human histori design religion and educ kathrynparkerboudett harvardx
260,Just Money: Banking as if Society Mattered,"['J.PhillipThompson', 'KatrinKaeufer', 'LilySteponaitis']",govern health and social scienc j.phillipthompson katrinkaeuf lilystepona mitx
261,Mobile Application Experiences: Understanding Use,"['FrankBentley', 'EdBarrett']",comput scienc frankbentley edbarrett mitx
262,Introduction to Game Design,"['EricKlopfer', 'PhilpTan', 'SaraVerrilli']",human histori design religion and educ ericklopf philptan saraverrilli mitx
263,Mastering Quantum Mechanics: Entanglement and Angular Momentum,"['BartonZwiebach', 'SaifRayyan']",scienc technolog engin and mathemat bartonzwiebach saifrayyan mitx
264,First Nights: L'Orfeo,['TomKelly'],human histori design religion and educ tomkelli harvardx
265,Evaluating Social Programs,"['RachelGlennerster', 'MarcShotland']",govern health and social scienc rachelglennerst marcshotland mitx
266,World Religions Through their Scriptures: Buddhism,['CharlesHallisey'],human histori design religion and educ charleshallisey harvardx
267,Leaders of Learning,['RichardElmore'],human histori design religion and educ richardelmor harvardx
268,Cellular Solids: Applications in Nature,['LornaJ.Gibson'],scienc technolog engin and mathemat lornaj.gibson mitx
269,Supply Chain Design,"['ChrisCaplice', 'YossiSheffi', 'JarrodGoentzel', 'JamesBlayneyRiceJr.']",govern health and social scienc chriscaplic yossisheffi jarrodgoentzel jamesblayneyricejr. mitx
270,Mobile Application Experiences: Reporting Research Findings,"['FrankBentley', 'EdBarrett']",comput scienc frankbentley edbarrett mitx
271,Cell Biology: Mitochondria,['RobLue'],scienc technolog engin and mathemat roblu harvardx
272,Electronic Materials and Devices,['CarolineRoss'],scienc technolog engin and mathemat carolineross mitx
273,World Religions Through Their Scriptures: Islam,['AliAsani'],human histori design religion and educ aliasani harvardx
274,Molecular Biology: DNA Replication and Repair,"['StephenP.Bell', 'TaniaA.Baker', 'MaryEllenWiltrout', 'NathanielSchafheimer', 'SeraThornton']",scienc technolog engin and mathemat stephenp.bel taniaa.bak maryellenwiltrout nathanielschafheim serathornton mitx
275,Introduction to Computer Science and Programming,"['EricGrimson', 'JohnGuttag', 'AnaBell']",comput scienc ericgrimson johnguttag anabel mitx
276,Energy Within Environmental Constraints,['DavidKeith'],scienc technolog engin and mathemat davidkeith harvardx
277,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"['J.ChristopherLove', 'AnthonyJ.Sinskey', 'Dr.StacyL.Springs', 'Dr.PaulW.Barone', 'BetsySkrip', 'NicholasMozdzierz', 'EricMiller']",govern health and social scienc j.christopherlov anthonyj.sinskey dr.stacyl.spr dr.paulw.baron betsyskrip nicholasmozdzierz ericmil mitx
278,Elements of Structures,"['SimonaSocrate', 'AlexieM.Kolpak']",scienc technolog engin and mathemat simonasocr alexiem.kolpak mitx
279,Becoming an Entrepreneur,['LaurieStach'],govern health and social scienc lauriestach mitx
280,Circuits and Electronics: Basic Circuit Analysis,"['AnantAgarwal', 'GeraldSussman', 'PiotrMitros', 'ChrisTerman', 'BonnieLam']",scienc technolog engin and mathemat anantagarw geraldsussman piotrmitro christerman bonnielam mitx
281,"Circuits and Electronics: Amplification, Speed, and Delay","['AnantAgarwal', 'GeraldSussman', 'PiotrMitros', 'ChrisTerman', 'BonnieLam']",scienc technolog engin and mathemat anantagarw geraldsussman piotrmitro christerman bonnielam mitx
282,Optical Materials and Devices,['CarolineRoss'],scienc technolog engin and mathemat carolineross mitx
283,World Religions Through their Scriptures: Hinduism,['NeelimaShukla-Bhatt'],human histori design religion and educ neelimashukla-bhatt harvardx
284,Implementation and Evaluation of Educational Technology,"['EricKlopfer', 'ElizabethHuttner-Loan']",human histori design religion and educ ericklopf elizabethhuttner-loan mitx
285,First Nights: Symphonie Fantastique,['TomKelly'],human histori design religion and educ tomkelli harvardx
286,Introduction to Family Engagement in Education,['KarenMapp'],human histori design religion and educ karenmapp harvardx
287,Introduction to Control System Design,"['JacobWhite', 'JoeSteinmeyer']",scienc technolog engin and mathemat jacobwhit joesteinmey mitx
288,Introduction to State Space Control,"['JacobWhite', 'JoeSteinmeyer']",scienc technolog engin and mathemat jacobwhit joesteinmey mitx
289,Magnetic Materials and Devices,['CarolineRoss'],scienc technolog engin and mathemat carolineross mitx
